artificial_physical_objectLabel,material_usedLabel,subclass_ofLabel,useLabel,has_partLabel
DeWalt DW400,,grinding machine,,angle grinder
Milwaukee 6156-20,,grinding machine,,angle grinder
Skil 9290-01,,grinding machine,,angle grinder
DeWalt D28110,,grinding machine,,angle grinder
DeWalt D28115,,grinding machine,,angle grinder
Hitachi G12SE2,,grinding machine,,angle grinder
Milwaukee 6154-20,,grinding machine,,angle grinder
Bosch 1700,,grinding machine,,angle grinder
Makita 9527NB,,grinding machine,,angle grinder
DeWalt DW818,,grinding machine,,angle grinder
Bosch 1347A,,grinding machine,,angle grinder
Hitachi G18MR,,grinding machine,,angle grinder
McCulloch MG832500,,grinding machine,,angle grinder
Milwaukee 6148-6,,grinding machine,,angle grinder
Bosch 1700A,,grinding machine,,angle grinder
Makita GA7021,,grinding machine,,angle grinder
DeWalt DW402,,grinding machine,,angle grinder
Porter Cable 7430,,grinding machine,,angle grinder
Hitachi G12SR2,,grinding machine,,angle grinder
Ridgid R1000,,grinding machine,,angle grinder
Ryobi AG451,,grinding machine,,angle grinder
Makita 9557PB,,grinding machine,,angle grinder
Ryobi AG401,,grinding machine,,angle grinder
Bosch 1752G7,,power tool,,angle grinder
Bosch 1752,,power tool,,angle grinder
DeWalt 28402K,,power tool,,angle grinder
Porter Cable PC750AG,,power tool,,angle grinder
Bosch 1375A,,power tool,,angle grinder
DeWalt DW400,,power tool,,angle grinder
Milwaukee 6156-20,,power tool,,angle grinder
Skil 9290-01,,power tool,,angle grinder
DeWalt D28110,,power tool,,angle grinder
DeWalt D28115,,power tool,,angle grinder
Hitachi G12SE2,,power tool,,angle grinder
Milwaukee 6154-20,,power tool,,angle grinder
Bosch 1700,,power tool,,angle grinder
Makita 9527NB,,power tool,,angle grinder
DeWalt DW818,,power tool,,angle grinder
Bosch 1347A,,power tool,,angle grinder
Hitachi G18MR,,power tool,,angle grinder
McCulloch MG832500,,power tool,,angle grinder
Milwaukee 6148-6,,power tool,,angle grinder
Bosch 1700A,,power tool,,angle grinder
Makita GA7021,,power tool,,angle grinder
DeWalt DW402,,power tool,,angle grinder
Porter Cable 7430,,power tool,,angle grinder
Hitachi G12SR2,,power tool,,angle grinder
Ridgid R1000,,power tool,,angle grinder
Ryobi AG451,,power tool,,angle grinder
Makita 9557PB,,power tool,,angle grinder
Ryobi AG401,,power tool,,angle grinder
transmitter,,architectural structure,,antenna
transmitter,,communication device,,antenna
transmitter,,machine,,antenna
mobile phone,,mobile device,,antenna
mobile phone,,telephone,,antenna
Mark I NAAK,,autoinjector,,antidote
Mark I NAAK,,autoinjector,,antidote
anti-tank artillery,,ground artillery,,anti-tank gun
Beinkamm,,comb,,antler
Beinkamm,,tool,,antler
Roman limes,,cordon,,Antonine Wall
Roman limes,,cordon,,Antonine Wall
Roman limes,,Roman fortification,,Antonine Wall
Roman limes,,Roman fortification,,Antonine Wall
ČSD Class U 45.9,,tank locomotive,,ČSD U 45.901 to U 45.905
ČSD Class U 45.9,,tank locomotive,,ČSD U 45.901 to U 45.905
iPad Pro,,iPad,,Apple A10X
iPhone 8 Plus,,iPhone,,Apple A11.1
iPhone 8,,iPhone,,Apple A11.1
iPhone X,,iPhone,,Apple A11.1
iPad Air 2,,iPad,,Apple A8X
Apple Watch Series 2,,Apple Watch,,Apple S2
Apple Watch Series 3,,Apple Watch,,Apple S3
Apple Watch,,smartwatch,,Apple Watch
Apple Watch,,smartwatch,,Apple Watch Series 1
Apple Watch,,smartwatch,,Apple Watch Series 2
Apple Watch,,smartwatch,,Apple Watch Series 3
Rivadavia-class battleship,,dreadnought,,ARA Moreno
Rivadavia-class battleship,,dreadnought,,ARA Moreno
Rivadavia-class battleship,,dreadnought,,ARA Moreno
Rivadavia-class battleship,,dreadnought,,ARA Rivadavia
Rivadavia-class battleship,,dreadnought,,ARA Rivadavia
Rivadavia-class battleship,,dreadnought,,ARA Rivadavia
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Ark Rock Barge wreck
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Ark Rock Barge wreck
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Ark Rock Barge wreck
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Ark Rock Barge wreck
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Ark Rock Barge wreck
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Ark Rock Barge wreck
plate armour,,body armor,,arm armor
plate armour,,body armor,,arm armor
SU-76,,76 mm gun,,armor
SU-76,,76 mm gun,,armor
SU-76,,76 mm gun,,armor
Essex-class (short bow),,Essex-class,,armor
Essex-class (short bow),,Essex-class,,armor
Essex-class (short bow),,Essex-class,,armor
T-54/55,,main battle tank,,armor
TAM,,main battle tank,,armor
T-54/55,,main battle tank,,armor
TAM,,main battle tank,,armor
T-54/55,,main battle tank,,armor
TAM,,main battle tank,,armor
SU-76,,self-propelled gun,,armor
SU-76,,self-propelled gun,,armor
SU-76,,self-propelled gun,,armor
T-34/85,,T-34,,armor
T-34/85,,T-34,,armor
T-34/85,,T-34,,armor
fauteuil,,armchair,,armrest
wheelchair,,chair,,armrest
wheelchair,,chair,,armrest
wheelchair,,chair,,armrest
wheelchair,,chair,,armrest
wheelchair,,mobility aid,,armrest
wheelchair,,mobility aid,,armrest
wheelchair,,mobility aid,,armrest
wheelchair,,mobility aid,,armrest
wheelchair,,wheeled vehicle,,armrest
wheelchair,,wheeled vehicle,,armrest
wheelchair,,wheeled vehicle,,armrest
wheelchair,,wheeled vehicle,,armrest
bow and arrow,,ranged weapon,,arrow
bow and arrow,,ranged weapon,,arrow
bow and arrow,,sporting weapon,,arrow
bow and arrow,,sporting weapon,,arrow
arrow,,projectile weapon,,arrowhead
SNCF TGV Duplex,,electric multiple unit,,articulated car
SNCF TGV Duplex,,electric multiple unit,,articulated car
SNCF TGV Duplex,,high speed train,,articulated car
SNCF TGV Duplex,,high speed train,,articulated car
articulated vehicle,,vehicle,,articulation
articulated vehicle,,vehicle,,articulation
Europa,,launch vehicle,,Astris
Europa,,launch vehicle,,Astris
aerospace engineering,,heavy equipment,,astronautical engineering
Asus EeeBook,,laptop,,Asus Eeebook X205TA
front of house,,theater space,,auditorium
Ocelot,,armored fighting vehicle,,automatic transmission
Ocelot,,armored fighting vehicle,,automatic transmission
Ocelot,,armored fighting vehicle,,automatic transmission
motorized bicycle,,bicycle,,auxiliary engine
motorized bicycle,,bicycle,,auxiliary engine
motorized bicycle,,bicycle,,auxiliary engine
motorized bicycle,,moped,,auxiliary engine
motorized bicycle,,moped,,auxiliary engine
motorized bicycle,,moped,,auxiliary engine
aerospace engineering,,heavy equipment,,aviation engineering
Cierva C.9,,aircraft,,Avro 576
Cierva C.9,,aircraft,,Avro 576
Cierva C.9,,aircraft,,Avro 581
Cierva C.9,,aircraft,,Avro 581
telega,,horse-drawn vehicle,,axle
telega,,horse-drawn vehicle,,axle
automobile,,motor vehicle,,axle
automobile,,motor vehicle,,axle
rice paper,,paper,,Bánh tráng
rice paper,,writing implement,,Bánh tráng
plate armour,,body armor,,backplate
plate armour,,body armor,,backplate
auditorium,,room,,balcony
auditorium,,theater space,,balcony
auditorium,,venue,,balcony
automobile,,motor vehicle,,Ball joint
automobile,,motor vehicle,,Ball joint
front of house,,theater space,,ballroom
balustrade,,architectural element,,baluster
guban,,musical instrument,,bangu
spot card,,playing card,,Banner
spot card,,playing card,,Banner
front of house,,theater space,,bar
barrel bomb,,improvised explosive device,,barrel
barrel bomb,,unguided bomb,,barrel
column,,architectural element,,base
column,,architectural structure,,base
column,,vertical structural element,,base
pilaster,,vertical structural element,,base
backboard,,sports equipment,,basket
backboard,,sports equipment,,basket
digital camera,,camera,,battery
digital camera,,camera,,battery
digital camera,,electronic device,,battery
digital camera,,electronic device,,battery
laptop,,mobile device,,battery
laptop,,personal computer,,battery
New Glenn,,launch vehicle,,BE-3
New Shepard,,launch vehicle,,BE-3
New Glenn,,launch vehicle,,BE-3
New Shepard,,launch vehicle,,BE-3
New Glenn,,launch vehicle,,BE-4
New Glenn,,launch vehicle,,BE-4
covered beaker,,tableware,,beaker
covered beaker,,tableware,,beaker
glazing jack,,machine,,beam
bell-cot,,architectural element,,bell
Bell 204/205,,utility helicopter,,Bell 204
Bell 204/205,,utility helicopter,,Bell 204
Bell 204/205,,utility helicopter,,Bell 205
Bell 204/205,,utility helicopter,,Bell 205
bell-gable,,architectural element,,bell tower closeup
bell-gable,,architectural element,,bell tower closeup
bell-gable,,bell tower,,bell tower closeup
bell-gable,,bell tower,,bell tower closeup
bell-gable,,church architecture,,bell tower closeup
bell-gable,,church architecture,,bell tower closeup
Ryobi BE321VS,,belt sander,,belt
Makita 9910,,belt sander,,belt
DeWalt DW433K,,belt sander,,belt
Ridgid R2720,,belt sander,,belt
Black and Decker DS321,,belt sander,,belt
Porter Cable 352VS,,belt sander,,belt
Hitachi SB-75,,belt sander,,belt
Ryobi BE321VS,,power tool,,belt
Makita 9910,,power tool,,belt
DeWalt DW433K,,power tool,,belt
Ridgid R2720,,power tool,,belt
Black and Decker DS321,,power tool,,belt
Porter Cable 352VS,,power tool,,belt
Hitachi SB-75,,power tool,,belt
Yorktown-class,,aircraft carrier,,belt armor
Yorktown-class,,aircraft carrier,,belt armor
Yorktown-class,,aircraft carrier,,belt armor
Essex-class (short bow),,Essex-class,,belt armor
Essex-class (short bow),,Essex-class,,belt armor
Essex-class (short bow),,Essex-class,,belt armor
carriage,,horse-drawn vehicle,,berlin
carriage,,horse-drawn vehicle,,berlin
motorized bicycle,,bicycle,,bicycle
motorized bicycle,,bicycle,,bicycle
motorized bicycle,,bicycle,,bicycle
motorized bicycle,,moped,,bicycle
motorized bicycle,,moped,,bicycle
motorized bicycle,,moped,,bicycle
SNCF TGV Duplex,,electric multiple unit,,bilevel rail car
SNCF TGV Duplex,,electric multiple unit,,bilevel rail car
SNCF TGV Duplex,,high speed train,,bilevel rail car
SNCF TGV Duplex,,high speed train,,bilevel rail car
biological weapon,,weapon,,biological agent
scythe,,agricultural tool,,blade
wood chisel,,chisel,,blade
scissors,,cutting tool,,blade
knife,,edged and bladed weapon,,blade
post hole digger,,garden tool,,blade
plane,,hand tool,,blade
chisel,,hand tool,,blade
post hole digger,,hand tool,,blade
scissors,,hand tool,,blade
Zester,,kitchenware,,blade
pizza cutter,,kitchenware,,blade
Zester,,kitchenware,,blade
pizza cutter,,kitchenware,,blade
chisel,,masonry tool,,blade
sword,,piercing-cutting weapon,,blade
plane,,tool,,blade
nail clipper,,tool,,blade
Hand scraper,,tool,,blade
Europa,,launch vehicle,,Blue Streak
Europa,,launch vehicle,,Blue Streak
Apple Watch Series 2,,Apple Watch,,Bluetooth
BN reactor,,breeder reactor,,BN-1200 reactor
BN reactor,,fast-neutron reactor,,BN-1200 reactor
BN reactor,,breeder reactor,,BN-350 reactor
BN reactor,,fast-neutron reactor,,BN-350 reactor
BN reactor,,breeder reactor,,BN-600 reactor
BN reactor,,fast-neutron reactor,,BN-600 reactor
BN reactor,,breeder reactor,,BN-800 reactor
BN reactor,,fast-neutron reactor,,BN-800 reactor
motorboat,,boat,,boat
motorboat,,boat,,boat
motorboat,,motor vehicle,,boat
motorboat,,motor vehicle,,boat
rail motor coach,,railmotor,,bogie
rail motor coach,,railmotor,,bogie
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Boiler wreck #1
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Boiler wreck #1
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Boiler wreck #1
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Boiler wreck #1
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Boiler wreck #1
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Boiler wreck #1
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Boiler wreck #2
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Boiler wreck #2
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Boiler wreck #2
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Boiler wreck #2
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Boiler wreck #2
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Boiler wreck #2
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Boiler wreck #3
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Boiler wreck #3
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Boiler wreck #3
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Boiler wreck #3
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Boiler wreck #3
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Boiler wreck #3
screw,,fastener,,bolt
screw,,fastener,,bolt
screw,,simple machine,,bolt
screw,,simple machine,,bolt
bow and arrow,,ranged weapon,,bow
bow and arrow,,ranged weapon,,bow
bow and arrow,,sporting weapon,,bow
bow and arrow,,sporting weapon,,bow
bow,,draft weapon,,bow string
bow,,draft weapon,,bow string
bow,,sporting weapon,,bow string
bow,,sporting weapon,,bow string
auditorium,,room,,box
auditorium,,theater space,,box
auditorium,,venue,,box
front of house,,theater space,,box office
BrailleNote,,computer,,Braille keyboard
Minas Geraes-class battleship,,dreadnought,,Brazilian battleship São Paulo
Minas Geraes-class battleship,,dreadnought,,Brazilian battleship São Paulo
Minas Geraes-class battleship,,dreadnought,,Brazilian battleship São Paulo
plate armour,,body armor,,breastplate
plate armour,,body armor,,breastplate
machine pistol,,automatic firearm,,breechblock
pistol,,handgun,,breechblock
rifle,,long gun,,breechblock
rifle,,personal weapon,,breechblock
machine pistol,,pistol,,breechblock
semi-automatic pistol,,pistol,,breechblock
semi-automatic pistol,,semi-automatic firearm,,breechblock
container ship,,cargo ship,,bridge
container ship,,cargo ship,,bridge
Pacer,,diesel multiple unit,,British Rail Class 14
Pacer,,diesel multiple unit,,British Rail Class 14
Pacer,,diesel multiple unit,,British Rail Class 140
Pacer,,diesel multiple unit,,British Rail Class 140
Pacer,,diesel multiple unit,,British Rail Class 141
Pacer,,diesel multiple unit,,British Rail Class 141
Pacer,,diesel multiple unit,,British Rail Class 143
Pacer,,diesel multiple unit,,British Rail Class 143
Pacer,,diesel multiple unit,,British Rail Class 144
Pacer,,diesel multiple unit,,British Rail Class 144
Sprinter,,diesel multiple unit,,British Rail Class 150
Sprinter,,diesel multiple unit,,British Rail Class 150
Sprinter,,diesel multiple unit,,British Rail Class 151
Sprinter,,diesel multiple unit,,British Rail Class 151
Sprinter,,diesel multiple unit,,British Rail Class 153
Sprinter,,diesel multiple unit,,British Rail Class 153
Sprinter,,diesel multiple unit,,British Rail Class 155
Sprinter,,diesel multiple unit,,British Rail Class 155
Sprinter,,diesel multiple unit,,British Rail Class 156
Sprinter,,diesel multiple unit,,British Rail Class 156
Sprinter,,diesel multiple unit,,British Rail Class 157
Sprinter,,diesel multiple unit,,British Rail Class 157
Sprinter,,diesel multiple unit,,British Rail Class 158
Sprinter,,diesel multiple unit,,British Rail Class 158
Sprinter,,diesel multiple unit,,British Rail Class 159
Sprinter,,diesel multiple unit,,British Rail Class 159
"British Rail Classes 201, 202 and 203",,diesel multiple unit,,British Rail Class 201
"British Rail Classes 201, 202 and 203",,diesel multiple unit,,British Rail Class 201
"British Rail Classes 201, 202 and 203",,diesel multiple unit,,British Rail Class 202
"British Rail Classes 201, 202 and 203",,diesel multiple unit,,British Rail Class 202
"British Rail Classes 201, 202 and 203",,diesel multiple unit,,British Rail Class 203
"British Rail Classes 201, 202 and 203",,diesel multiple unit,,British Rail Class 203
Aventra,,electric multiple unit,,British Rail Class 345
Aventra,,electric multiple unit,,British Rail Class 345
Electrostar,,electric multiple unit,,British Rail Class 357
Electrostar,,electric multiple unit,,British Rail Class 357
Electrostar,,electric multiple unit,,British Rail Class 375
Electrostar,,electric multiple unit,,British Rail Class 375
Electrostar,,electric multiple unit,,British Rail Class 376
Electrostar,,electric multiple unit,,British Rail Class 376
Electrostar,,electric multiple unit,,British Rail Class 377
Electrostar,,electric multiple unit,,British Rail Class 377
Electrostar,,electric multiple unit,,British Rail Class 378
Electrostar,,electric multiple unit,,British Rail Class 378
Electrostar,,electric multiple unit,,British Rail Class 379
Electrostar,,electric multiple unit,,British Rail Class 379
Electrostar,,electric multiple unit,,British Rail Class 387
Electrostar,,electric multiple unit,,British Rail Class 387
"British Rail Classes 253, 254 and 255",,diesel multiple unit,,British Rail Class 43
"British Rail Classes 253, 254 and 255",,diesel multiple unit,,British Rail Class 43
Stadler Euro Light,,locomotive,,British Rail Class 68
Stadler Euro Light,,locomotive,,British Rail Class 68
Stadler Euro Light,,Stadler Euro,,British Rail Class 68
Stadler Euro Light,,Stadler Euro,,British Rail Class 68
Stadler Euro Dual,,locomotive,,British Rail Class 88
Stadler Euro Dual,,locomotive,,British Rail Class 88
Stadler Euro Dual,,Stadler Euro,,British Rail Class 88
Stadler Euro Dual,,Stadler Euro,,British Rail Class 88
InterCity 225,,trainset,,British Rail Class 91
InterCity 225,,trainset,,British Rail Class 91
InterCity 250,,trainset,,British Rail Class 93
InterCity 250,,trainset,,British Rail Class 93
Sprinter,,diesel multiple unit,,British Rail Class 950
Sprinter,,diesel multiple unit,,British Rail Class 950
InterCity 225,,trainset,,British Rail Mark 4
InterCity 225,,trainset,,British Rail Mark 4
InterCity 250,,trainset,,British Rail Mark 5
InterCity 250,,trainset,,British Rail Mark 5
British railway milk trains,,train,,British railway milk tank
British railway milk trains,,train,,British railway milk tank
Royal Train,,train,,British Royal Train
Royal Train,,train,,British Royal Train
brushed DC electric motor,,DC motor,,brush
brushed DC electric motor,,electric motor,,brush
brushed DC electric motor,,,,brush
backhoe,,attachment,,bucket
excavator,,heavy equipment,,bucket
pistol cartridge,,cartridge,,bullet
bunker gear,,firefighting equipment,,bunker jacket
bunker gear,,firefighting equipment,,bunker jacket
bunker gear,,personal protective equipment,,bunker jacket
bunker gear,,personal protective equipment,,bunker jacket
bunker gear,,protective clothing,,bunker jacket
bunker gear,,protective clothing,,bunker jacket
bunker gear,,firefighting equipment,,bunker pants
bunker gear,,firefighting equipment,,bunker pants
bunker gear,,personal protective equipment,,bunker pants
bunker gear,,personal protective equipment,,bunker pants
bunker gear,,protective clothing,,bunker pants
bunker gear,,protective clothing,,bunker pants
gas stove,,kitchen stove,,burner
electric locomotive,,electric vehicle,,cab
electric locomotive,,electric vehicle,,cab
steam locomotive,,locomotive,,cab
electric locomotive,,locomotive,,cab
electric locomotive,,locomotive,,cab
steam locomotive,,locomotive,,cab
tramcar,,motor vehicle,,cab
tramcar,,motor vehicle,,cab
rail motor coach,,railmotor,,cab
rail motor coach,,railmotor,,cab
tramcar,,railroad car,,cab
tramcar,,railroad car,,cab
tramcar,,rolling stock,,cab
tramcar,,rolling stock,,cab
Core i7-4770HQ,,Intel Core i7,,cache
Core i7-4770HQ,,tool,,cache
carburetor,,device,,Calibrated orifice
carburetor,,engine fuel system,,Calibrated orifice
camera,,optical instrument,,camera lens
camera,,optical instrument,,camera lens
camera,,photo equipment,,camera lens
camera,,photo equipment,,camera lens
reciprocating engine,,engine-generator,,camshaft
reciprocating engine,,internal combustion engine,,camshaft
reciprocating engine,,Kolbenmaschine,,camshaft
condenser microphone,,microphone,,capacitor
column,,architectural element,,capital
column,,architectural structure,,capital
column,,vertical structural element,,capital
pilaster,,vertical structural element,,capital
automobile,,motor vehicle,,car wheel
automobile,,motor vehicle,,car wheel
nitrogen mustard,,blister agent,,carbon
nitrogen mustard,,chemical warfare agent,,carbon
nitrogen mustard,,mustards,,carbon
space suit,,environmental suit,,carbon dioxide scrubber
space suit,,environmental suit,,carbon dioxide scrubber
space suit,,personal protective equipment,,carbon dioxide scrubber
space suit,,personal protective equipment,,carbon dioxide scrubber
automobile,,motor vehicle,,carburetor
automobile,,motor vehicle,,carburetor
drive shaft,,Drive Axle,,cardan-shaft drive
cartridge,,ammunition,,cartridge case
pistol cartridge,,cartridge,,cartridge case
cartridge,,product,,cartridge case
IBM Displaywriter System,,dedicated word processor,,cathode ray tube
auditorium,,room,,Cavea
auditorium,,theater space,,Cavea
auditorium,,venue,,Cavea
C and D-class destroyer,,destroyer,,C-class destroyer
C and D-class destroyer,,destroyer,,C-class destroyer
C and D-class destroyer,,destroyer,,C-class destroyer
mobile phone series,,mobile phone,,cell phone model
mobile phone series,,product lining,,cell phone model
mobile phone series,,second-order metaclass,,cell phone model
mobile phone series,,trademark,,cell phone model
heating,,heating,,central heating
heating,,"heating, ventilating, and air conditioning",,central heating
digital camera,,camera,,central processing unit
digital camera,,camera,,central processing unit
personal computer,,computer,,central processing unit
digital camera,,electronic device,,central processing unit
digital camera,,electronic device,,central processing unit
ThinkPad X200,,laptop,,central processing unit
personal computer,,computer,,Central Unit
Multi-Anode Multichannel Array,,image sensor,,charge-coupled device
quadriga,,horse-drawn vehicle,,chariot
quadriga,,horse-drawn vehicle,,chariot
China Railways JF,,tender locomotive,,China Railways JF1
China Railways JF,,tender locomotive,,China Railways JF1
China Railways JF,,tender locomotive,,China Railways JF11
China Railways JF,,tender locomotive,,China Railways JF11
China Railways JF,,tender locomotive,,China Railways JF12
China Railways JF,,tender locomotive,,China Railways JF12
China Railways JF,,tender locomotive,,China Railways JF13
China Railways JF,,tender locomotive,,China Railways JF13
China Railways JF,,tender locomotive,,China Railways JF15
China Railways JF,,tender locomotive,,China Railways JF15
China Railways JF,,tender locomotive,,China Railways JF17
China Railways JF,,tender locomotive,,China Railways JF17
China Railways JF,,tender locomotive,,China Railways JF18
China Railways JF,,tender locomotive,,China Railways JF18
China Railways JF,,tender locomotive,,China Railways JF2
China Railways JF,,tender locomotive,,China Railways JF2
China Railways JF,,tender locomotive,,China Railways JF21
China Railways JF,,tender locomotive,,China Railways JF21
China Railways JF,,tender locomotive,,China Railways JF3
China Railways JF,,tender locomotive,,China Railways JF3
China Railways JF,,tender locomotive,,China Railways JF4
China Railways JF,,tender locomotive,,China Railways JF4
China Railways JF,,tender locomotive,,China Railways JF5
China Railways JF,,tender locomotive,,China Railways JF5
China Railways JF,,tender locomotive,,China Railways JF6
China Railways JF,,tender locomotive,,China Railways JF6
China Railways JF,,tender locomotive,,China Railways JF7
China Railways JF,,tender locomotive,,China Railways JF7
China Railways JF,,tender locomotive,,China Railways JF8
China Railways JF,,tender locomotive,,China Railways JF8
Cromwell tank,,cruiser tank,,Christie suspension
Cromwell tank,,cruiser tank,,Christie suspension
Cromwell tank,,cruiser tank,,Christie suspension
Hitachi D13VF,,drill,,chuck
Skil 6265,,drill,,chuck
Milwaukee 0375-1,,drill,,chuck
DeWalt DW130,,drill,,chuck
DeWalt DW235G,,drill,,chuck
Black and Decker DR501,,drill,,chuck
Black and Decker DR211,,drill,,chuck
Global Machinery Company RAD45KUL,,drill,,chuck
Makita 6408,,drill,,chuck
Makita 6303H,,drill,,chuck
Milwaukee 0299-20,,drill,,chuck
Milwaukee 0300-20,,drill,,chuck
Milwaukee 0302-20,,drill,,chuck
Hitachi D10VH,,drill,,chuck
Bosch 11235EVS,,hammer drill,,chuck
Bosch 1194AVSR,,hammer drill,,chuck
Hitachi FDV16VB2,,hammer drill,,chuck
Porter Cable PC650HD,,hammer drill,,chuck
Bosch 1199VSR,,hammer drill,,chuck
Bosch 1191VSRK,,hammer drill,,chuck
Black and Decker DR601,,hammer drill,,chuck
Craftsman 315-265670,,hammer drill,,chuck
Black and Decker FS6000HD,,hammer drill,,chuck
Bosch 11236VS,,hammer drill,,chuck
Makita HP1501,,hammer drill,,chuck
Bosch 11255VSR,,hammer drill,,chuck
DeWalt DW505,,hammer drill,,chuck
Bosch 11224VSR,,hammer drill,,chuck
Hitachi DH24PE,,hammer drill,,chuck
Bosch 11258VSR,,hammer drill,,chuck
DeWalt D25103,,hammer drill,,chuck
DeWalt DW290,,Impact wrench,,chuck
Kobalt,,Impact wrench,,chuck
